"","Minaria_diamantinensis","Minaria_cordata","Minaria_magisteriana","Minaria_grazielae","Minaria_ditassoides","Minaria_micromeria","Minaria_polygaloides","Minaria_acerosa","Minaria_parva","Minaria_refractifolia","Minaria_semirii","Minaria_hemipogonoides","Minaria_campanuliflora","Minaria_lourteigiae","Minaria_abortiva"
"708",1,0,0,1,1,1,0,1,1,1,0,0,0,0,0
"391",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"748",0,1,1,0,1,1,1,1,1,0,1,1,0,0,0
"668",1,1,0,1,1,1,0,1,1,1,0,0,0,0,1
"352",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"667",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"351",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"588",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"501",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"382",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"271",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"823",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"908",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"581",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"589",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
"867",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"788",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"422",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"461",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"906",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"669",0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
"392",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"312",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"549",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"541",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"430",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"311",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"828",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"782",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
