"ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs","id","residuals"
10,0.25,0.27,0.02,253,-0.67,0.253,999,"391",0.02
14,0.3,0.34,0.03,46,-1.74,0.046,999,"708",-0.01
30,0.57,0.59,0.03,342,-0.42,0.342,999,"668",-0.03
5,0.14,0.15,0.02,174,-0.97,0.174,999,"669",0
24,0.48,0.5,0.03,215,-0.79,0.215,999,"748",-0.01
27,0.55,0.55,0.03,535,0.13,0.535,999,"828",0
20,0.42,0.45,0.03,165,-0.97,0.165,999,"501",0
12,0.29,0.31,0.02,262,-0.62,0.262,999,"382",0.02
6,0.18,0.18,0.02,605,0.32,0.605,999,"541",0.03
14,0.3,0.34,0.02,30,-1.93,0.03,999,"422",-0.01
2,0.08,0.07,0.01,936.5,0.93,0.9365,999,"709",-0.01
4,0.13,0.13,0.01,417,-0.13,0.417,999,"589",0
2,0.07,0.07,0.01,369,-0.15,0.369,999,"865",-0.01
10,0.24,0.27,0.02,136,-1.13,0.136,999,"788",0.01
7,0.19,0.2,0.02,228,-0.76,0.228,999,"581",0.01
1,0.04,0.04,0,430,-0.08,0.43,999,"421",-0.03
11,0.28,0.29,0.02,344,-0.4,0.344,999,"351",0.03
9,0.25,0.25,0.02,607,0.32,0.607,999,"352",0.04
6,0.15,0.18,0.02,69,-1.59,0.069,999,"461",-0.01
4,0.12,0.13,0.01,231,-0.74,0.231,999,"906",0
1,0.04,0.04,0,191,-0.56,0.191,999,"502",-0.03
10,0.27,0.27,0.02,548,0.13,0.548,999,"827",0.04
2,0.08,0.07,0.01,734,0.78,0.734,999,"430",-0.01
1,0.04,0.04,0,878,0.92,0.878,999,"823",-0.03
9,0.24,0.25,0.02,336,-0.37,0.336,999,"312",0.02
4,0.12,0.13,0.01,205,-0.8,0.205,999,"499",0
2,0.08,0.07,0.01,957,0.92,0.957,999,"232",-0.01
3,0.09,0.1,0.01,263,-0.55,0.263,999,"392",-0.01
