"","748","352","708","312","382","668","500","823","501","828","541","581","589","788","709","351","391","422","232","311","152","269","782"
"748",0,1,0.666666666666667,0.857142857142857,0.8,0.615384615384615,0.8,0.833333333333333,0.714285714285714,0.857142857142857,0.714285714285714,0.6,0.714285714285714,0.857142857142857,0.8,0.6,0.8,0.857142857142857,1,0.714285714285714,1,0.8,0.8
"352",1,0,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,0.8,1,1,1
"708",0.666666666666667,1,0,0.941176470588235,0.933333333333333,0.133333333333333,0.933333333333333,0.866666666666667,0.8125,0.8,0.8125,0.866666666666667,0.882352941176471,0.875,0.933333333333333,0.866666666666667,0.933333333333333,0.875,1,0.882352941176471,1,0.933333333333333,0.933333333333333
"312",0.857142857142857,0.75,0.941176470588235,0,1,0.933333333333333,0.666666666666667,1,0.833333333333333,1,0.833333333333333,0.75,0.833333333333333,1,1,0.75,0.666666666666667,0.8,1,0.6,1,0.666666666666667,1
"382",0.8,1,0.933333333333333,1,0,0.923076923076923,1,0.5,0.75,0.666666666666667,0.75,0.5,1,0.666666666666667,1,0.5,1,0.666666666666667,1,0.75,1,1,0
"668",0.615384615384615,1,0.133333333333333,0.933333333333333,0.923076923076923,0,0.923076923076923,0.928571428571429,0.866666666666667,0.933333333333333,0.866666666666667,0.846153846153846,0.866666666666667,0.933333333333333,0.923076923076923,0.846153846153846,0.923076923076923,0.933333333333333,1,0.866666666666667,1,0.923076923076923,0.923076923076923
"500",0.8,1,0.933333333333333,0.666666666666667,1,0.923076923076923,0,1,0.75,1,0.75,0.5,1,1,1,0.5,0,1,1,0.75,1,0,1
"823",0.833333333333333,1,0.866666666666667,1,0.5,0.928571428571429,1,0,0.5,0.333333333333333,0.5,0.666666666666667,1,0.75,1,0.666666666666667,1,0.333333333333333,1,0.8,1,1,0.5
"501",0.714285714285714,1,0.8125,0.833333333333333,0.75,0.866666666666667,0.75,0.5,0,0.6,0,0.5,0.857142857142857,0.6,1,0.5,0.75,0.6,0.8,0.666666666666667,0.75,0.75,0.75
"828",0.857142857142857,1,0.8,1,0.666666666666667,0.933333333333333,1,0.333333333333333,0.6,0,0.6,0.75,1,0.5,1,0.75,1,0.5,1,0.833333333333333,1,1,0.666666666666667
"541",0.714285714285714,1,0.8125,0.833333333333333,0.75,0.866666666666667,0.75,0.5,0,0.6,0,0.5,0.857142857142857,0.6,1,0.5,0.75,0.6,0.8,0.666666666666667,0.75,0.75,0.75
"581",0.6,1,0.866666666666667,0.75,0.5,0.846153846153846,0.5,0.666666666666667,0.5,0.75,0.5,0,1,0.75,1,0,0.5,0.75,1,0.5,1,0.5,0.5
"589",0.714285714285714,1,0.882352941176471,0.833333333333333,1,0.866666666666667,1,1,0.857142857142857,1,0.857142857142857,1,0,0.833333333333333,0.75,1,1,0.833333333333333,0.8,0.857142857142857,0.75,1,1
"788",0.857142857142857,1,0.875,1,0.666666666666667,0.933333333333333,1,0.75,0.6,0.5,0.6,0.75,0.833333333333333,0,1,0.75,1,0.8,0.75,0.833333333333333,0.666666666666667,1,0.666666666666667
"709",0.8,1,0.933333333333333,1,1,0.923076923076923,1,1,1,1,1,1,0.75,1,0,1,1,1,1,1,1,1,1
"351",0.6,1,0.866666666666667,0.75,0.5,0.846153846153846,0.5,0.666666666666667,0.5,0.75,0.5,0,1,0.75,1,0,0.5,0.75,1,0.5,1,0.5,0.5
"391",0.8,1,0.933333333333333,0.666666666666667,1,0.923076923076923,0,1,0.75,1,0.75,0.5,1,1,1,0.5,0,1,1,0.75,1,0,1
"422",0.857142857142857,1,0.875,0.8,0.666666666666667,0.933333333333333,1,0.333333333333333,0.6,0.5,0.6,0.75,0.833333333333333,0.8,1,0.75,1,0,1,0.6,1,1,0.666666666666667
"232",1,0.666666666666667,1,1,1,1,1,1,0.8,1,0.8,1,0.8,0.75,1,1,1,1,0,0.8,0.5,1,1
"311",0.714285714285714,0.8,0.882352941176471,0.6,0.75,0.866666666666667,0.75,0.8,0.666666666666667,0.833333333333333,0.666666666666667,0.5,0.857142857142857,0.833333333333333,1,0.5,0.75,0.6,0.8,0,1,0.75,0.75
"152",1,1,1,1,1,1,1,1,0.75,1,0.75,1,0.75,0.666666666666667,1,1,1,1,0.5,1,0,1,1
"269",0.8,1,0.933333333333333,0.666666666666667,1,0.923076923076923,0,1,0.75,1,0.75,0.5,1,1,1,0.5,0,1,1,0.75,1,0,1
"782",0.8,1,0.933333333333333,1,0,0.923076923076923,1,0.5,0.75,0.666666666666667,0.75,0.5,1,0.666666666666667,1,0.5,1,0.666666666666667,1,0.75,1,1,0
